Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
95,598452,598452,10000,2025-08-07,1
96,652080,652080,10000,2025-03-14,1
97,339617,339617,10000,2025-12-07,1
98,711652,711652,10000,2025-09-28,1
99,917749,917749,10000,2025-07-28,1
100,564373,564373,10000,2025-04-28,1
101,548742,548742,10000,2025-12-14,1
102,646003,646003,10000,2025-09-28,1
103,972834,972834,10000,2025-04-07,1
104,419997,419997,10000,2025-03-07,1
105,233813,233813,10000,2025-12-14,1
106,47888,47888,10000,2025-12-21,1
107,202488,202488,10000,2025-11-21,1
108,98281,98281,10000,2025-11-14,1
109,263798,263798,10000,2025-09-14,1
110,483172,483172,10000,2025-03-14,1
111,551314,551314,10000,2025-02-27,1
112,292563,292563,10000,2025-10-28,1
113,663504,663504,10000,2025-04-28,1
114,849904,849904,10000,2025-08-14,1
115,456065,456065,10000,2025-08-21,1
116,402650,402650,10000,2025-06-14,1
117,582525,582525,10000,2025-11-28,1
118,896235,896235,10000,2025-11-07,1
119,125122,125122,10000,2025-02-06,1
120,332294,332294,10000,2025-06-21,1
121,863295,863295,10000,2025-12-14,1
122,807842,807842,10000,2025-03-14,1
123,769701,769701,10000,2025-01-20,1
124,48744,48744,10000,2025-02-06,1
125,361467,361467,10000,2025-08-28,1
126,45713,45713,10000,2025-06-21,1
127,90828,90828,10000,2025-07-07,1
128,12497,12497,10000,2025-11-28,1
129,868875,868875,10000,2025-04-07,1
130,630778,630778,10000,2025-03-07,1
131,203636,203636,10000,2025-02-27,1
132,125768,125768,10000,2025-06-07,1
133,625590,625590,10000,2025-03-28,1
134,776822,776822,10000,2025-09-21,1
135,612073,612073,10000,2025-10-28,1
136,740025,740025,10000,2025-02-13,1
137,644212,644212,10000,2025-03-14,1
138,744614,744614,10000,2025-01-06,1
139,418908,418908,10000,2025-08-21,1
140,634123,634123,10000,2025-11-07,1
141,455376,455376,10000,2025-07-28,1
142,987166,987166,10000,2025-08-07,1
143,487451,487451,10000,2025-09-14,1
144,67308,67308,10000,2025-07-28,1
145,785844,785844,10000,2025-04-07,1
146,276242,276242,10000,2025-03-28,1
147,713796,713796,10000,2025-10-21,1
148,424975,424975,10000,2025-07-21,1
149,496371,496371,10000,2025-12-21,1
150,8846,8846,10000,2025-04-14,1
151,80775,80775,10000,2025-02-20,1
152,546377,546377,10000,2025-08-28,1
153,989036,989036,10000,2025-04-21,1
154,17407,17407,10000,2025-12-28,1
155,903936,903936,10000,2025-09-28,1
156,792230,792230,10000,2025-07-07,1
157,439118,439118,10000,2025-03-28,1
158,496603,496603,10000,2025-07-14,1
159,150623,150623,10000,2025-06-14,1
160,248507,248507,10000,2025-06-28,1
161,791185,791185,10000,2025-10-28,1
162,104643,104643,10000,2025-11-07,1
163,277594,277594,10000,2025-09-07,1
164,468553,468553,10000,2025-05-14,1
165,311738,311738,10000,2025-06-28,1
166,414598,414598,10000,2025-11-14,1
167,340516,340516,10000,2025-09-14,1
168,691400,691400,10000,2025-05-07,1
169,520978,520978,10000,2025-12-14,1
170,979581,979581,10000,2025-11-14,1
171,227162,227162,10000,2025-09-14,1
172,373325,373325,10000,2025-11-28,1
173,436972,436972,10000,2025-08-28,1
174,576157,576157,10000,2025-12-21,1
175,348319,348319,10000,2025-03-28,1
176,299808,299808,10000,2025-04-07,1
177,895457,895457,10000,2025-12-21,1
178,580670,580670,10000,2025-07-07,1
179,807048,807048,10000,2025-02-27,1
180,71366,71366,10000,2025-02-20,1
181,368985,368985,10000,2025-03-14,1
182,857180,857180,10000,2025-09-28,1
183,887744,887744,10000,2025-10-07,1
184,826333,826333,10000,2025-03-14,1
185,193392,193392,10000,2025-09-14,1
186,586423,586423,10000,2025-03-28,1
187,353711,353711,10000,2025-05-07,1
188,958141,958141,10000,2025-09-28,1
189,301750,301750,10000,2025-06-14,1
190,956786,956786,10000,2025-06-07,1
191,48020,48020,10000,2025-10-28,1
192,676997,676997,10000,2025-02-06,1
193,623255,623255,10000,2025-05-21,1
194,45486,45486,10000,2025-01-27,1
195,221490,221490,10000,2025-08-14,1
196,382409,382409,10000,2025-11-28,1
197,494179,494179,10000,2025-04-21,1
198,276969,276969,10000,2025-02-06,1
199,36638,36638,10000,2025-07-21,1
200,61796,61796,10000,2025-07-14,1
201,449359,449359,10000,2025-12-14,1
202,285097,285097,10000,2025-06-28,1
203,313421,313421,10000,2025-01-06,1
204,110667,110667,10000,2025-11-07,1
205,629776,629776,10000,2025-06-07,1
206,745432,745432,10000,2025-12-21,1
207,727114,727114,10000,2025-05-14,1
208,96807,96807,10000,2025-07-07,1
209,603113,603113,10000,2025-02-20,1
210,301450,301450,10000,2025-05-07,1
211,266267,266267,10000,2025-07-07,1
212,555008,555008,10000,2025-02-13,1
213,208150,208150,10000,2025-02-13,1
214,548796,548796,10000,2025-10-07,1
215,497557,497557,10000,2025-10-07,1
216,491650,491650,10000,2025-03-07,1
217,6848,6848,10000,2025-01-13,1
218,978407,978407,10000,2025-06-07,1
219,978803,978803,10000,2025-02-20,1
220,702892,702892,10000,2025-11-14,1
221,188918,188918,10000,2025-04-21,1
222,550985,550985,10000,2025-04-21,1
223,488658,488658,10000,2025-05-07,1
224,107830,107830,10000,2025-06-21,1
225,160948,160948,10000,2025-09-14,1
226,26897,26897,10000,2025-09-21,1
227,930873,930873,10000,2025-05-07,1
228,903997,903997,10000,2025-07-28,1
229,811750,811750,10000,2025-01-06,1
230,399648,399648,10000,2025-07-28,1
231,929542,929542,10000,2025-10-21,1
232,776200,776200,10000,2025-02-27,1
233,117221,117221,10000,2025-04-14,1
234,603910,603910,10000,2025-06-07,1
235,101460,101460,10000,2025-07-07,1
236,764086,764086,10000,2025-04-07,1
237,873694,873694,10000,2025-03-14,1
238,70682,70682,10000,2025-07-28,1
239,574198,574198,10000,2025-10-14,1
240,391048,391048,10000,2025-10-07,1
241,264841,264841,10000,2025-12-28,1
242,530721,530721,10000,2025-05-21,1
243,614015,614015,10000,2025-05-14,1
244,761519,761519,10000,2025-12-07,1
245,360784,360784,10000,2025-12-28,1
246,224091,224091,10000,2025-05-28,1
247,307252,307252,10000,2025-08-14,1
248,142039,142039,10000,2025-05-28,1
249,349825,349825,10000,2025-11-14,1
250,590629,590629,10000,2025-06-21,1
251,607997,607997,10000,2025-01-27,1
252,57053,57053,10000,2025-04-28,1
253,506484,506484,10000,2025-04-28,1
254,145677,145677,10000,2025-03-21,1
255,665283,665283,10000,2025-11-07,1
256,972584,972584,10000,2025-09-21,1
257,589384,589384,10000,2025-10-07,1
258,859739,859739,10000,2025-11-21,1
259,409831,409831,10000,2025-01-13,1
260,71431,71431,10000,2025-05-21,1
261,654625,654625,10000,2025-08-28,1
262,850143,850143,10000,2025-09-21,1
263,211742,211742,10000,2025-05-28,1
264,208347,208347,10000,2025-08-21,1
265,293484,293484,10000,2025-03-21,1
266,944339,944339,10000,2025-08-28,1
267,215115,215115,10000,2025-11-07,1
268,495689,495689,10000,2025-11-21,1
269,302495,302495,10000,2025-03-28,1
270,610407,610407,10000,2025-01-27,1
271,866637,866637,10000,2025-08-28,1
272,781766,781766,10000,2025-12-28,1
273,157027,157027,10000,2025-08-21,1
274,490552,490552,10000,2025-03-21,1
275,272796,272796,10000,2025-12-14,1
276,958959,958959,10000,2025-02-27,1
277,509629,509629,10000,2025-03-14,1
278,12740,12740,10000,2025-08-28,1
279,577249,577249,10000,2025-03-21,1
280,845155,845155,10000,2025-03-28,1
281,948253,948253,10000,2025-01-27,1
282,190323,190323,10000,2025-01-06,1
283,291617,291617,10000,2025-03-14,1
284,43350,43350,10000,2025-01-20,1
285,867284,867284,10000,2025-05-21,1
286,447731,447731,10000,2025-09-21,1
287,857158,857158,10000,2025-12-28,1
288,538593,538593,10000,2025-10-28,1
289,610787,610787,10000,2025-04-21,1
290,81735,81735,10000,2025-03-28,1
291,68563,68563,10000,2025-02-06,1
292,421223,421223,10000,2025-11-14,1
293,571202,571202,10000,2025-06-28,1
294,581014,581014,10000,2025-04-14,1
295,1598,1598,10000,2025-10-28,1
296,404309,404309,10000,2025-07-07,1
297,450969,450969,10000,2025-04-07,1
298,480129,480129,10000,2025-10-21,1
299,309877,309877,10000,2025-02-13,1
300,993944,993944,10000,2025-07-28,1
301,622791,622791,10000,2025-02-13,1
302,51812,51812,10000,2025-10-28,1
303,356031,356031,10000,2025-07-07,1
304,928423,928423,10000,2025-04-14,1
305,596734,596734,10000,2025-12-21,1
306,532090,532090,10000,2025-08-21,1
307,743343,743343,10000,2025-01-13,1
308,113275,113275,10000,2025-09-14,1
309,815167,815167,10000,2025-11-07,1
310,772719,772719,10000,2025-07-21,1
311,866030,866030,10000,2025-03-07,1
312,784250,784250,10000,2025-06-07,1
313,661802,661802,10000,2025-03-21,1
314,23363,23363,10000,2025-07-28,1
315,439084,439084,10000,2025-12-14,1
316,404903,404903,10000,2025-08-28,1
317,360865,360865,10000,2025-04-28,1
318,159518,159518,10000,2025-02-27,1
319,875859,875859,10000,2025-05-21,1
320,476489,476489,10000,2025-02-20,1
321,117325,117325,10000,2025-12-07,1
322,606265,606265,10000,2025-11-21,1
323,56148,56148,10000,2025-07-07,1
324,57643,57643,10000,2025-05-21,1
325,64396,64396,10000,2025-06-14,1
326,524420,524420,10000,2025-04-21,1
327,560030,560030,10000,2025-04-07,1
328,844020,844020,10000,2025-12-14,1
329,206716,206716,10000,2025-08-28,1
330,60458,60458,10000,2025-04-28,1
331,722534,722534,10000,2025-09-28,1
332,809807,809807,10000,2025-07-07,1
333,745748,745748,10000,2025-05-14,1
334,606335,606335,10000,2025-11-21,1
335,842218,842218,10000,2025-07-07,1
336,508281,508281,10000,2025-09-07,1
337,720919,720919,10000,2025-01-13,1
338,211364,211364,10000,2025-05-07,1
339,28366,28366,10000,2025-05-14,1
340,354022,354022,10000,2025-07-14,1
341,87789,87789,10000,2025-04-21,1
342,269570,269570,10000,2025-09-07,1
343,5499,5499,10000,2025-10-28,1
344,690863,690863,10000,2025-04-21,1
345,195500,195500,10000,2025-02-06,1
346,249678,249678,10000,2025-05-28,1
347,457273,457273,10000,2025-07-07,1
348,433385,433385,10000,2025-05-28,1
349,797819,797819,10000,2025-12-28,1
350,791125,791125,10000,2025-01-06,1
351,574297,574297,10000,2025-08-21,1
352,118879,118879,10000,2025-01-06,1
353,434800,434800,10000,2025-06-14,1
354,484063,484063,10000,2025-05-28,1
355,444814,444814,10000,2025-01-27,1
356,267446,267446,10000,2025-02-20,1
357,891327,891327,10000,2025-02-13,1
358,975273,975273,10000,2025-11-28,1
359,428446,428446,10000,2025-08-14,1
360,661236,661236,10000,2025-03-28,1
361,616493,616493,10000,2025-03-14,1
362,511197,511197,10000,2025-02-06,1
363,599068,599068,10000,2025-10-21,1
364,672063,672063,10000,2025-02-13,1
365,141627,141627,10000,2025-04-28,1
366,655430,655430,10000,2025-12-28,1
367,805330,805330,10000,2025-11-07,1
368,444055,444055,10000,2025-10-07,1
369,491391,491391,10000,2025-08-07,1
370,396525,396525,10000,2025-04-28,1
371,922860,922860,10000,2025-04-14,1
372,24254,24254,10000,2025-04-28,1
373,593305,593305,10000,2025-11-07,1
374,365640,365640,10000,2025-08-21,1
375,939158,939158,10000,2025-11-28,1
376,292814,292814,10000,2025-07-21,1
377,767622,767622,10000,2025-08-14,1
378,710890,710890,10000,2025-02-20,1
379,240725,240725,10000,2025-12-21,1
380,974735,974735,10000,2025-08-14,1
381,902594,902594,10000,2025-06-21,1
382,615676,615676,10000,2025-02-20,1
383,219147,219147,10000,2025-02-06,1
384,903112,903112,10000,2025-11-28,1
385,703487,703487,10000,2025-02-20,1
386,271050,271050,10000,2025-10-21,1
387,706689,706689,10000,2025-07-07,1
388,319360,319360,10000,2025-05-28,1
389,579199,579199,10000,2025-11-14,1
390,267798,267798,10000,2025-08-07,1
391,175857,175857,10000,2025-10-14,1
392,565238,565238,10000,2025-06-28,1
393,320878,320878,10000,2025-12-07,1
394,528442,528442,10000,2025-07-14,1
395,593496,593496,10000,2025-03-28,1
396,762698,762698,10000,2025-01-13,1
397,989028,989028,10000,2025-10-28,1
398,792510,792510,10000,2025-08-28,1
399,214375,214375,10000,2025-11-14,1
400,342965,342965,10000,2025-10-28,1
401,557705,557705,10000,2025-06-07,1
402,928124,928124,10000,2025-03-14,1
403,677230,677230,10000,2025-11-28,1
404,227316,227316,10000,2025-06-28,1
405,435857,435857,10000,2025-08-07,1
406,328684,328684,10000,2025-01-27,1
407,54916,54916,10000,2025-06-21,1
408,4825,4825,10000,2025-01-13,1
409,767737,767737,10000,2025-10-14,1
410,724188,724188,10000,2025-10-14,1
411,984396,984396,10000,2025-01-20,1
412,660669,660669,10000,2025-09-14,1
413,361533,361533,10000,2025-10-14,1
414,350692,350692,10000,2025-07-21,1
415,651435,651435,10000,2025-11-07,1
416,868080,868080,10000,2025-04-21,1
417,470780,470780,10000,2025-10-07,1
418,297940,297940,10000,2025-03-07,1
419,150324,150324,10000,2025-12-21,1
420,154401,154401,10000,2025-01-06,1
421,853505,853505,10000,2025-12-14,1
422,524771,524771,10000,2025-04-14,1
423,991046,991046,10000,2025-05-07,1
424,146536,146536,10000,2025-01-27,1
425,286221,286221,10000,2025-03-14,1
426,421399,421399,10000,2025-05-28,1
427,2373,2373,10000,2025-04-14,1
428,319259,319259,10000,2025-09-28,1
429,265321,265321,10000,2025-06-07,1
430,394486,394486,10000,2025-01-06,1
431,734196,734196,10000,2025-11-28,1
432,74044,74044,10000,2025-01-13,1
433,470816,470816,10000,2025-09-28,1
434,522019,522019,10000,2025-02-27,1
435,475390,475390,10000,2025-07-28,1
436,557508,557508,10000,2025-02-20,1
437,568287,568287,10000,2025-09-21,1
438,563344,563344,10000,2025-05-28,1
439,679527,679527,10000,2025-08-14,1
440,459571,459571,10000,2025-12-14,1
441,956063,956063,10000,2025-12-14,1
442,245483,245483,10000,2025-06-21,1
443,252869,252869,10000,2025-03-14,1
444,13288,13288,10000,2025-09-07,1
445,188974,188974,10000,2025-07-14,1
446,188225,188225,10000,2025-05-14,1
447,742961,742961,10000,2025-11-07,1
448,904799,904799,10000,2025-01-27,1
449,936400,936400,10000,2025-12-07,1
450,675978,675978,10000,2025-10-07,1
451,783492,783492,10000,2025-01-13,1
452,506571,506571,10000,2025-03-21,1
453,914531,914531,10000,2025-04-07,1
454,483564,483564,10000,2025-04-14,1
455,545445,545445,10000,2025-07-14,1
456,774939,774939,10000,2025-09-21,1
457,654386,654386,10000,2025-03-07,1
458,401709,401709,10000,2025-12-07,1
459,854815,854815,10000,2025-05-28,1
460,492780,492780,10000,2025-03-07,1
461,985270,985270,10000,2025-07-07,1
462,528575,528575,10000,2025-09-07,1
463,942633,942633,10000,2025-11-14,1
464,905554,905554,10000,2025-10-28,1
465,322086,322086,10000,2025-03-21,1
466,99518,99518,10000,2025-04-21,1
467,369267,369267,10000,2025-08-07,1
468,649552,649552,10000,2025-06-28,1
469,718242,718242,10000,2025-11-14,1
470,885413,885413,10000,2025-11-14,1
471,119492,119492,10000,2025-12-07,1
472,406009,406009,10000,2025-09-07,1
473,515968,515968,10000,2025-07-28,1
474,863986,863986,10000,2025-01-20,1
475,81410,81410,10000,2025-06-28,1
476,282169,282169,10000,2025-06-28,1
477,911909,911909,10000,2025-01-27,1
478,826694,826694,10000,2025-12-14,1
479,99380,99380,10000,2025-04-07,1
480,831039,831039,10000,2025-05-21,1
481,715410,715410,10000,2025-09-14,1
482,507845,507845,10000,2025-08-21,1
483,7391,7391,10000,2025-05-21,1
484,97582,97582,10000,2025-01-27,1
485,977885,977885,10000,2025-07-14,1
486,656508,656508,10000,2025-08-07,1
487,616315,616315,10000,2025-10-28,1
488,970224,970224,10000,2025-04-28,1
489,37244,37244,10000,2025-05-21,1
490,62470,62470,10000,2025-07-21,1
491,916175,916175,10000,2025-09-21,1
492,308831,308831,10000,2025-11-28,1
493,533045,533045,10000,2025-02-13,1
494,2540,2540,10000,2025-08-07,1
495,285267,285267,10000,2025-11-21,1
496,981957,981957,10000,2025-12-07,1
497,220720,220720,10000,2025-02-06,1
498,440232,440232,10000,2025-06-14,1
499,502016,502016,10000,2025-12-28,1
500,902953,902953,10000,2025-04-28,1
501,532866,532866,10000,2025-01-06,1
502,343332,343332,10000,2025-01-13,1
503,333024,333024,10000,2025-03-21,1
504,4737,4737,10000,2025-07-14,1
505,44656,44656,10000,2025-10-28,1
506,334464,334464,10000,2025-06-07,1
507,524155,524155,10000,2025-12-28,1
508,378129,378129,10000,2025-02-06,1
509,458770,458770,10000,2025-10-28,1
510,644734,644734,10000,2025-04-14,1
511,242067,242067,10000,2025-06-07,1
512,816451,816451,10000,2025-07-07,1
513,85627,85627,10000,2025-12-07,1
514,970678,970678,10000,2025-06-14,1
515,533614,533614,10000,2025-08-14,1
516,565055,565055,10000,2025-07-14,1
517,480296,480296,10000,2025-05-21,1
518,457799,457799,10000,2025-09-28,1
519,195855,195855,10000,2025-09-28,1
520,293159,293159,10000,2025-06-28,1
521,385531,385531,10000,2025-07-07,1
522,781254,781254,10000,2025-03-28,1
523,823575,823575,10000,2025-08-07,1
524,893170,893170,10000,2025-09-07,1
525,977089,977089,10000,2025-08-14,1
526,102285,102285,10000,2025-11-28,1
527,191265,191265,10000,2025-05-14,1
528,524068,524068,10000,2025-06-07,1
529,47468,47468,10000,2025-08-07,1
530,427512,427512,10000,2025-07-28,1
531,971871,971871,10000,2025-07-07,1
532,863806,863806,10000,2025-03-07,1
533,951182,951182,10000,2025-04-14,1
534,302727,302727,10000,2025-10-14,1
535,479476,479476,10000,2025-06-07,1
536,443576,443576,10000,2025-09-28,1
537,157586,157586,10000,2025-07-28,1
538,799055,799055,10000,2025-10-28,1
539,170404,170404,10000,2025-11-07,1
540,482261,482261,10000,2025-05-28,1
541,908401,908401,10000,2025-10-07,1
542,935645,935645,10000,2025-08-21,1
543,938246,938246,10000,2025-07-07,1
544,242116,242116,10000,2025-10-14,1
545,921087,921087,10000,2025-06-07,1
546,920232,920232,10000,2025-11-07,1
547,691272,691272,10000,2025-08-14,1
548,294836,294836,10000,2025-02-06,1
549,198983,198983,10000,2025-09-21,1
550,525112,525112,10000,2025-10-14,1
551,372128,372128,10000,2025-01-27,1
552,131807,131807,10000,2025-01-27,1
553,845257,845257,10000,2025-01-20,1
554,957410,957410,10000,2025-04-21,1
555,667318,667318,10000,2025-09-21,1
556,630899,630899,10000,2025-02-06,1
557,532246,532246,10000,2025-10-14,1
558,755020,755020,10000,2025-09-07,1
559,52614,52614,10000,2025-12-28,1
560,923473,923473,10000,2025-05-07,1
561,661363,661363,10000,2025-06-21,1
562,188606,188606,10000,2025-08-28,1
563,916846,916846,10000,2025-02-20,1
564,661498,661498,10000,2025-06-14,1
565,25929,25929,10000,2025-11-07,1
566,664235,664235,10000,2025-11-21,1
567,501864,501864,10000,2025-04-21,1
568,978794,978794,10000,2025-05-21,1
569,89506,89506,10000,2025-03-21,1
570,342402,342402,10000,2025-05-21,1
571,913654,913654,10000,2025-01-20,1
572,678416,678416,10000,2025-08-14,1
573,433046,433046,10000,2025-02-20,1
574,545251,545251,10000,2025-11-07,1
575,242139,242139,10000,2025-04-21,1
576,505370,505370,10000,2025-12-14,1
577,595271,595271,10000,2025-12-28,1
578,441570,441570,10000,2025-11-14,1
579,410417,410417,10000,2025-10-14,1
580,863759,863759,10000,2025-11-14,1
581,498732,498732,10000,2025-01-13,1
582,285516,285516,10000,2025-10-14,1
583,411461,411461,10000,2025-11-14,1
584,58782,58782,10000,2025-04-07,1
585,982358,982358,10000,2025-11-07,1
586,460598,460598,10000,2025-10-14,1
587,486176,486176,10000,2025-06-07,1
588,683759,683759,10000,2025-10-28,1
589,4217,4217,10000,2025-04-21,1
590,444631,444631,10000,2025-09-21,1
591,897194,897194,10000,2025-11-21,1
592,542974,542974,10000,2025-01-27,1
593,833354,833354,10000,2025-12-21,1
594,609851,609851,10000,2025-10-07,1
595,214963,214963,10000,2025-10-14,1
596,284976,284976,10000,2025-05-07,1
597,24548,24548,10000,2025-12-21,1
598,844226,844226,10000,2025-04-28,1
599,19306,19306,10000,2025-09-07,1
600,873816,873816,10000,2025-11-28,1
601,158608,158608,10000,2025-10-07,1
602,714887,714887,10000,2025-06-07,1
603,832421,832421,10000,2025-10-28,1
604,313409,313409,10000,2025-07-21,1
605,770019,770019,10000,2025-05-07,1
606,851690,851690,10000,2025-11-21,1
607,639832,639832,10000,2025-02-20,1
608,959658,959658,10000,2025-04-21,1
609,406440,406440,10000,2025-09-28,1
610,602393,602393,10000,2025-03-21,1
611,269767,269767,10000,2025-09-28,1
612,813351,813351,10000,2025-11-07,1
613,35959,35959,10000,2025-01-27,1
614,45023,45023,10000,2025-07-14,1
615,511525,511525,10000,2025-08-14,1
616,647285,647285,10000,2025-06-21,1
617,97600,97600,10000,2025-11-07,1
618,886340,886340,10000,2025-01-13,1
619,941614,941614,10000,2025-07-28,1
620,225666,225666,10000,2025-06-07,1
621,243318,243318,10000,2025-05-21,1
622,182367,182367,10000,2025-08-21,1
623,97549,97549,10000,2025-09-28,1
624,960856,960856,10000,2025-12-07,1
625,413311,413311,10000,2025-12-07,1
626,835513,835513,10000,2025-03-07,1
627,831619,831619,10000,2025-01-27,1
628,827762,827762,10000,2025-02-20,1
629,216981,216981,10000,2025-05-07,1
630,536381,536381,10000,2025-03-28,1
631,642206,642206,10000,2025-03-28,1
632,107522,107522,10000,2025-04-21,1
633,825268,825268,10000,2025-03-28,1
634,553136,553136,10000,2025-10-07,1
635,189134,189134,10000,2025-12-07,1
636,885355,885355,10000,2025-03-21,1
637,261856,261856,10000,2025-02-20,1
638,575924,575924,10000,2025-02-13,1
639,129357,129357,10000,2025-05-21,1
640,724505,724505,10000,2025-10-21,1
641,527473,527473,10000,2025-11-28,1
642,886971,886971,10000,2025-12-07,1
643,394264,394264,10000,2025-04-21,1
644,323920,323920,10000,2025-07-14,1
645,965851,965851,10000,2025-12-14,1
646,431725,431725,10000,2025-07-07,1
647,698688,698688,10000,2025-06-14,1
648,976421,976421,10000,2025-05-28,1
649,814966,814966,10000,2025-12-28,1
650,775489,775489,10000,2025-01-06,1
651,951278,951278,10000,2025-04-21,1
652,296247,296247,10000,2025-11-07,1
653,861450,861450,10000,2025-04-21,1
654,577681,577681,10000,2025-09-21,1
655,905898,905898,10000,2025-02-06,1
656,63313,63313,10000,2025-08-07,1
657,922757,922757,10000,2025-01-20,1
658,612350,612350,10000,2025-07-14,1
659,661454,661454,10000,2025-01-20,1
660,374038,374038,10000,2025-09-14,1
661,225738,225738,10000,2025-07-28,1
662,196211,196211,10000,2025-10-28,1
663,327021,327021,10000,2025-08-07,1
664,475166,475166,10000,2025-08-21,1
665,991238,991238,10000,2025-11-21,1
666,227719,227719,10000,2025-12-14,1
667,230958,230958,10000,2025-02-20,1
668,960042,960042,10000,2025-03-07,1
669,674562,674562,10000,2025-09-07,1
670,462839,462839,10000,2025-01-06,1
671,531421,531421,10000,2025-01-06,1
672,661715,661715,10000,2025-12-28,1
673,415952,415952,10000,2025-11-14,1
674,389830,389830,10000,2025-05-07,1
675,715083,715083,10000,2025-04-28,1
676,643222,643222,10000,2025-02-13,1
677,323326,323326,10000,2025-11-07,1
678,918433,918433,10000,2025-02-27,1
679,790259,790259,10000,2025-01-06,1
680,307053,307053,10000,2025-05-28,1
681,119655,119655,10000,2025-09-28,1
682,275782,275782,10000,2025-02-13,1
683,878227,878227,10000,2025-07-14,1
684,39695,39695,10000,2025-06-28,1
685,299930,299930,10000,2025-06-07,1
686,217373,217373,10000,2025-01-06,1
687,200898,200898,10000,2025-10-07,1
688,745333,745333,10000,2025-06-21,1
689,1092,1092,10000,2025-08-28,1
690,973364,973364,10000,2025-04-28,1
691,973058,973058,10000,2025-08-14,1
692,487913,487913,10000,2025-03-14,1
693,900838,900838,10000,2025-07-21,1
694,319139,319139,10000,2025-07-07,1
695,587930,587930,10000,2025-11-14,1
